tyler_id,default_id,dex_number,species,form,name,other_forms,type1,type2,ability1,ability2,ability3,base_hp,base_atk,base_def,base_spa,base_dpd,base_spe,exp_yield,hp_yield,atk_yield,def_yield,spa_yield,spd_yield,spe_yield,class,male_%,female_%,catch_rate,base_friendship,evo_method,evo_condition,evo_time,special_evo,pre_evo,egg_group1,egg_group2,hatch_cycles,exp_group,eviolite
1,1,1,Bulbasaur,normal,Bulbasaur,,Grass,Poison,Overgrow,Overgrow,Chlorophyll,45,49,49,65,65,45,64,0,0,0,1,0,0,Seed Pokémon,0.875,0.125,45,70,,,Any,,,Monster,Grass,20,medium_slow,1
2,2,2,Ivysaur,normal,Ivysaur,,Grass,Poison,Overgrow,Overgrow,Chlorophyll,60,62,63,80,80,60,142,0,0,0,1,1,0,Seed Pokémon,0.875,0.125,45,70,Level,16,Any,,Bulbasaur,Monster,Grass,20,medium_slow,1
3,3,3,Venusaur,normal,Venusaur,"normal, mega",Grass,Poison,Overgrow,Overgrow,Chlorophyll,80,82,83,100,100,80,236,0,0,0,2,1,0,Seed Pokémon,0.875,0.125,45,70,Level,32,Any,,Ivysaur,Monster,Grass,20,medium_slow,0
4,804,3,Venusaur,mega,Venusaur (Mega Venusaur),"normal, mega",Grass,Poison,Thick Fat,Thick Fat,Thick Fat,80,100,123,122,120,80,281,0,0,0,2,1,0,Seed Pokémon,0.875,0.125,45,70,Mega,,Any,,Venusaur,Monster,Grass,20,medium_slow,0
5,4,4,Charmander,normal,Charmander,,Fire,,Blaze,Blaze,Solar Power,39,52,43,60,50,65,62,0,0,0,0,0,1,Lizard Pokémon,0.875,0.125,45,70,,,Any,,,Monster,Dragon,20,medium_slow,1
6,5,5,Charmeleon,normal,Charmeleon,,Fire,,Blaze,Blaze,Solar Power,58,64,58,80,65,80,142,0,0,0,1,0,1,Flame Pokémon,0.875,0.125,45,70,Level,16,Any,,Charmander,Monster,Dragon,20,medium_slow,1
7,6,6,Charizard,normal,Charizard,"normal, mega_x, mega_y",Fire,Flying,Blaze,Blaze,Solar Power,78,84,78,109,85,100,240,0,0,0,3,0,0,Flame Pokémon,0.875,0.125,45,70,Level,36,Any,,Charmeleon,Monster,Dragon,20,medium_slow,0
8,805,6,Charizard,mega_x,Charizard (Mega Charizard X),"normal, mega_x, mega_y",Fire,Dragon,Tough Claws,Tough Claws,Tough Claws,78,130,111,130,85,100,285,0,0,0,3,0,0,Flame Pokémon,0.875,0.125,45,70,Mega,,Any,,Charizard,Monster,Dragon,20,medium_slow,0
9,806,6,Charizard,mega_y,Charizard (Mega Charizard Y),"normal, mega_x, mega_y",Fire,Flying,Drought,Drought,Drought,78,104,78,159,115,100,285,0,0,0,3,0,0,Flame Pokémon,0.875,0.125,45,70,Mega,,Any,,Charizard,Monster,Dragon,20,medium_slow,0
10,7,7,Squirtle,normal,Squirtle,,Water,,Torrent,Torrent,Rain Dish,44,48,65,50,64,43,63,0,0,1,0,0,0,Tiny Turtle Pokémon,0.875,0.125,45,70,,,Any,,,Monster,Water 1,20,medium_slow,1
11,8,8,Wartortle,normal,Wartortle,,Water,,Torrent,Torrent,Rain Dish,59,63,80,65,80,58,142,0,0,1,0,1,0,Turtle Pokémon,0.875,0.125,45,70,Level,16,Any,,Squirtle,Monster,Water 1,20,medium_slow,1
12,9,9,Blastoise,normal,Blastoise,"normal, mega",Water,,Torrent,Torrent,Rain Dish,79,83,100,85,105,78,239,0,0,0,0,3,0,Shellfish Pokémon,0.875,0.125,45,70,Level,36,Any,,Wartortle,Monster,Water 1,20,medium_slow,0
13,807,9,Blastoise,mega,Blastoise (Mega Blastoise),"normal, mega",Water,,Mega Launcher,Mega Launcher,Mega Launcher,79,103,120,135,115,78,284,0,0,0,0,3,0,Shellfish Pokémon,0.875,0.125,45,70,Mega,,Any,,Blastoise,Monster,Water 1,20,medium_slow,0
14,10,10,Caterpie,normal,Caterpie,,Bug,,Shield Dust,Shield Dust,Run Away,45,30,35,20,20,45,39,1,0,0,0,0,0,Worm Pokémon,0.5,0.5,255,70,,,Any,,,Bug,,10,medium_fast,1
15,11,11,Metapod,normal,Metapod,,Bug,,Shed Skin,Shed Skin,Shed Skin,50,20,55,25,25,30,72,0,0,2,0,0,0,Cocoon Pokémon,0.5,0.5,120,70,Level,7,Any,,Caterpie,Bug,,10,medium_fast,1
16,12,12,Butterfree,normal,Butterfree,,Bug,Flying,Compound Eyes,Compound Eyes,Tinted Lens,60,45,50,90,80,70,178,0,0,0,2,1,0,Butterfly Pokémon,0.5,0.5,45,70,Level,10,Any,,Metapod,Bug,,10,medium_fast,0
17,13,13,Weedle,normal,Weedle,,Bug,Poison,Shield Dust,Shield Dust,Run Away,40,35,30,20,20,50,39,0,0,0,0,0,1,Hairy Bug Pokémon,0.5,0.5,255,70,,,Any,,,Bug,,10,medium_fast,1
18,14,14,Kakuna,normal,Kakuna,,Bug,Poison,Shed Skin,Shed Skin,Shed Skin,45,25,50,25,25,35,72,0,0,2,0,0,0,Cocoon Pokémon,0.5,0.5,120,70,Level,7,Any,,Weedle,Bug,,10,medium_fast,1
19,15,15,Beedrill,normal,Beedrill,"normal, mega",Bug,Poison,Swarm,Swarm,Sniper,65,90,40,45,80,75,178,0,2,0,0,1,0,Poison Bee Pokémon,0.5,0.5,45,70,Level,10,Any,,Kakuna,Bug,,10,medium_fast,0
20,808,15,Beedrill,mega,Beedrill (Mega Beedrill),"normal, mega",Bug,Poison,Adaptability,Adaptability,Adaptability,65,150,40,15,80,145,223,0,2,0,0,1,0,Poison Bee Pokémon,0.5,0.5,45,70,Mega,,Any,,Beedrill,Bug,,10,medium_fast,0
21,16,16,Pidgey,normal,Pidgey,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,50,0,0,0,0,0,1,Tiny Bird Pokémon,0.5,0.5,255,70,,,Any,,,Flying,,15,medium_slow,1
22,17,17,Pidgeotto,normal,Pidgeotto,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,122,0,0,0,0,0,2,Bird Pokémon,0.5,0.5,120,70,Level,18,Any,,Pidgey,Flying,,15,medium_slow,1
23,18,18,Pidgeot,normal,Pidgeot,"normal, mega",Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,216,0,0,0,0,0,3,Bird Pokémon,0.5,0.5,45,70,Level,36,Any,,Pidgeotto,Flying,,15,medium_slow,0
24,809,18,Pidgeot,mega,Pidgeot (Mega Pidgeot),"normal, mega",Normal,Flying,No Guard,No Guard,No Guard,83,80,80,135,80,121,261,0,0,0,0,0,3,Bird Pokémon,0.5,0.5,45,70,Mega,,Any,,Pidgeot,Flying,,15,medium_slow,0
25,19,19,Rattata,normal,Rattata,,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,51,0,0,0,0,0,1,Mouse Pokémon,0.5,0.5,255,70,,,Any,,,Field,,15,medium_fast,1
26,810,19,Rattata,alola,Rattata (Alola Form),"normal, alola",Dark,Normal,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,51,0,0,0,0,0,1,Mouse Pokémon,0.5,0.5,255,70,,,Any,,,Field,,15,medium_fast,1
27,20,20,Raticate,normal,Raticate,,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,145,0,0,0,0,0,2,Mouse Pokémon,0.5,0.5,127,70,Level,20,Any,,Rattata,Field,,15,medium_fast,0
29,811,20,Raticate,alola,Raticate (Alola Form),"normal, alola",Dark,Normal,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,145,0,0,0,0,0,2,Mouse Pokémon,0.5,0.5,127,70,Level,20,Night,,Rattata (Alola Form),Field,,15,medium_fast,0
30,21,21,Spearow,normal,Spearow,,Normal,Flying,Keen Eye,Keen Eye,Sniper,40,60,30,31,31,70,52,0,0,0,0,0,1,Tiny Bird Pokémon,0.5,0.5,255,70,,,Any,,,Flying,,15,medium_fast,1
31,22,22,Fearow,normal,Fearow,,Normal,Flying,Keen Eye,Keen Eye,Sniper,65,90,65,61,61,100,155,0,0,0,0,0,2,Beak Pokémon,0.5,0.5,90,70,Level,20,Any,,Spearow,Flying,,15,medium_fast,0
32,23,23,Ekans,normal,Ekans,,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,58,0,1,0,0,0,0,Snake Pokémon,0.5,0.5,255,70,,,Any,,,Field,Dragon,20,medium_fast,1
33,24,24,Arbok,normal,Arbok,,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,157,0,2,0,0,0,0,Cobra Pokémon,0.5,0.5,90,70,Level,22,Any,,Ekans,Field,Dragon,20,medium_fast,0
34,25,25,Pikachu,normal,Pikachu,,Electric,,Static,Static,Lightning Rod,35,55,40,50,50,90,112,0,0,0,0,0,2,Mouse Pokémon,0.5,0.5,190,70,High friendship,,Any,,Pichu,Field,Fairy,20,medium_fast,1
41,26,26,Raichu,normal,Raichu,"normal, alola",Electric,,Static,Static,Lightning Rod,60,90,55,90,80,110,218,0,0,0,0,0,3,Mouse Pokémon,0.5,0.5,75,70,Stone,Thunder Stone,Any,,Pikachu,Field,Fairy,20,medium_fast,0
42,819,26,Raichu,alola,Raichu (Alola Form),"normal, alola",Electric,Psychic,Surge Surfer,Surge Surfer,Surge Surfer,60,85,50,95,85,110,218,0,0,0,0,0,3,Mouse Pokémon,0.5,0.5,75,70,Stone,Thunder Stone,Any,,Pikachu,Field,Fairy,20,medium_fast,0
43,27,27,Sandshrew,normal,Sandshrew,"normal, alola",Ground,,Sand Veil,Sand Veil,Sand Rush,50,75,85,20,30,40,60,0,0,1,0,0,0,Mouse Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
44,820,27,Sandshrew,alola,Sandshrew (Alola Form),"normal, alola",Ice,Steel,Snow Cloak,Snow Cloak,Slush Rush,50,75,90,10,35,40,60,0,0,1,0,0,0,Mouse Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
45,28,28,Sandslash,normal,Sandslash,"normal, alola",Ground,,Sand Veil,Sand Veil,Sand Rush,75,100,110,45,55,65,158,0,0,2,0,0,0,Mouse Pokémon,0.5,0.5,90,70,Level,22,Any,,Sandshrew,Field,,20,medium_fast,0
46,821,28,Sandslash,alola,Sandslash (Alola Form),"normal, alola",Ice,Steel,Snow Cloak,Snow Cloak,Slush Rush,75,100,120,25,65,65,158,0,0,2,0,0,0,Mouse Pokémon,0.5,0.5,90,70,Stone,Ice Stone,Any,,Sandshrew (Alola Form),Field,,20,medium_fast,0
47,29,29,NidoranF,normal,Nidoran?,,Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,55,1,0,0,0,0,0,Poison Pin Pokémon,0,1,235,70,,,Any,,,Monster,Field,20,medium_slow,1
48,30,30,Nidorina,normal,Nidorina,,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,128,2,0,0,0,0,0,Poison Pin Pokémon,0,1,120,70,Level,16,Any,,Nidoran?,Undiscovered,,20,medium_slow,1
49,31,31,Nidoqueen,normal,Nidoqueen,,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,227,3,0,0,0,0,0,Drill Pokémon,0,1,45,70,Stone,Moon Stone,Any,,Nidorina,Undiscovered,,20,medium_slow,0
50,32,32,NidoranM,normal,Nidoran?,,Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,55,0,1,0,0,0,0,Poison Pin Pokémon,1,0,235,70,,,Any,,,Monster,Field,20,medium_slow,1
51,33,33,Nidorino,normal,Nidorino,,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,128,0,2,0,0,0,0,Poison Pin Pokémon,1,0,120,70,Level,16,Any,,Nidoran?,Monster,Field,20,medium_slow,1
52,34,34,Nidoking,normal,Nidoking,,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,227,0,3,0,0,0,0,Drill Pokémon,1,0,45,70,Stone,Moon Stone,Any,,Nidorino,Monster,Field,20,medium_slow,0
53,35,35,Clefairy,normal,Clefairy,,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,113,2,0,0,0,0,0,Fairy Pokémon,0.25,0.75,150,140,High friendship,,Any,,Cleffa,Fairy,,20,fast,1
54,36,36,Clefable,normal,Clefable,,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,217,3,0,0,0,0,0,Fairy Pokémon,0.25,0.75,25,140,Stone,Moon Stone,Any,,Clefairy,Fairy,,20,fast,0
55,37,37,Vulpix,normal,Vulpix,"normal, alola",Fire,,Flash Fire,Flash Fire,Drought,38,41,40,50,65,65,60,0,0,0,0,0,1,Fox Pokémon,0.25,0.75,190,70,,,Any,,,Field,,20,medium_fast,1
56,822,37,Vulpix,alola,Vulpix (Alola Form),"normal, alola",Ice,,Snow Cloak,Snow Cloak,Snow Warning,38,41,40,50,65,65,60,0,0,0,0,0,1,Fox Pokémon,0.25,0.75,190,70,,,Any,,,Field,,20,medium_fast,1
57,38,38,Ninetales,normal,Ninetales,"normal, alola",Fire,,Flash Fire,Flash Fire,Drought,73,76,75,81,100,100,177,0,0,0,0,1,1,Fox Pokémon,0.25,0.75,75,70,Stone,Fire Stone,Any,,Vulpix,Field,,20,medium_fast,0
58,823,38,Ninetales,alola,Ninetales (Alola Form),"normal, alola",Ice,Fairy,Snow Cloak,Snow Cloak,Snow Warning,73,67,75,81,100,109,177,0,0,0,0,0,2,Fox Pokémon,0.25,0.75,75,70,Stone,Ice Stone,Any,,Vulpix (Alola Form),Field,,20,medium_fast,0
59,39,39,Jigglypuff,normal,Jigglypuff,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,95,2,0,0,0,0,0,Balloon Pokémon,0.25,0.75,170,70,High friendship,,Any,,Igglybuff,Fairy,,20,fast,1
60,40,40,Wigglytuff,normal,Wigglytuff,,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,196,3,0,0,0,0,0,Balloon Pokémon,0.25,0.75,50,70,Stone,Moon Stone,Any,,Jigglypuff,Fairy,,20,fast,0
61,41,41,Zubat,normal,Zubat,,Poison,Flying,Inner Focus,Inner Focus,Infiltrator,40,45,35,30,40,55,49,0,0,0,0,0,1,Bat Pokémon,0.5,0.5,255,70,,,Any,,,Flying,,15,medium_fast,1
62,42,42,Golbat,normal,Golbat,,Poison,Flying,Inner Focus,Inner Focus,Infiltrator,75,80,70,65,75,90,159,0,0,0,0,0,2,Bat Pokémon,0.5,0.5,90,70,Level,22,Any,,Zubat,Flying,,15,medium_fast,1
63,43,43,Oddish,normal,Oddish,,Grass,Poison,Chlorophyll,Chlorophyll,Run Away,45,50,55,75,65,30,64,0,0,0,1,0,0,Weed Pokémon,0.5,0.5,255,70,,,Any,,,Grass,,20,medium_slow,1
64,44,44,Gloom,normal,Gloom,,Grass,Poison,Chlorophyll,Chlorophyll,Stench,60,65,70,85,75,40,138,0,0,0,2,0,0,Weed Pokémon,0.5,0.5,120,70,Level,21,Any,,Oddish,Grass,,20,medium_slow,1
65,45,45,Vileplume,normal,Vileplume,,Grass,Poison,Chlorophyll,Chlorophyll,Effect Spore,75,80,85,110,90,50,221,0,0,0,3,0,0,Flower Pokémon,0.5,0.5,45,70,Stone,Leaf Stone,Any,,Gloom,Grass,,20,medium_slow,0
66,46,46,Paras,normal,Paras,,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,57,0,1,0,0,0,0,Mushroom Pokémon,0.5,0.5,190,70,,,Any,,,Bug,Grass,20,medium_fast,1
67,47,47,Parasect,normal,Parasect,,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,142,0,2,1,0,0,0,Mushroom Pokémon,0.5,0.5,75,70,Level,24,Any,,Paras,Bug,Grass,20,medium_fast,0
68,48,48,Venonat,normal,Venonat,,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,61,0,0,0,0,1,0,Insect Pokémon,0.5,0.5,190,70,,,Any,,,Bug,,20,medium_fast,1
69,49,49,Venomoth,normal,Venomoth,,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,158,0,0,0,1,0,1,Poison Moth Pokémon,0.5,0.5,75,70,Level,31,Any,,Venonat,Bug,,20,medium_fast,0
70,50,50,Diglett,normal,Diglett,"normal, alola",Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,53,0,0,0,0,0,1,Mole Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
71,824,50,Diglett,alola,Diglett (Alola Form),"normal, alola",Ground,Steel,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,53,0,0,0,0,0,1,Mole Pokémon,0.5,0.5,255,70,,,Any,,,Field,,20,medium_fast,1
72,51,51,Dugtrio,normal,Dugtrio,"normal, alola",Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,149,0,0,0,0,0,2,Mole Pokémon,0.5,0.5,50,70,Level,26,Any,,Diglett,Field,,20,medium_fast,0
